Title,Description,Department,Program,Contact Email,Homepage URL,Temporal Coverage,Spatial/Geographic Coverage,Geographic Granularity,Language,Frequency,De-Identification Method,Source Link,Data Collection Tool,License,Limitations,Additional Limitations,Additional Information,Related Resources,Secondary Sources,Citation,Created,Last Updated,Topic,Tags,Dataset URL,Dataset ID
"Statewide Medi-Cal Certified Eligible Individuals, by Aid Code, 2010 to the Most Recent Reportable Month","This data set includes statewide counts of Medi-Cal certified eligibles by Month, Aid Code and Delivery System. The term certified eligible refers to beneficiaries who have been determined eligible for Medi-Cal based on a valid eligibility determination.",Department of Health Care Services,Enterprise Data and Information Management / Data Management and Analytics Division,opendata@dhcs.ca.gov ,www.dhcs.ca.gov,January 2010 to the most recent reportable month,Statewide,statewide,English (EN),monthly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,http://www.dhcs.ca.gov/dataandstats/statistics/Pages/Medi-Cal-Certified-EligiblesRecentTrends.aspx,MIS/DSS Data Warehouse,Terms of Use,Limitations,"The presented eligible counts for the most recent month are considered preliminary and are subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the month’s end.","Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).

The eligibility data included in this document represent only certified eligible counts.  Certified eligibles are those beneficiaries deemed qualified for Medi-Cal by a valid eligibility determination, and who have enrolled into the program. This classification excludes beneficiaries who have not met a monthly share-of-cost obligation. Additionally, the presented eligibility counts exclude information related to applications received or any other eligible that may be in the process of becoming certified eligible.",http://www.dhcs.ca.gov/dataandstats/statistics/Pages/Medi-Cal-Certified-EligiblesRecentTrends.aspx,,"State of California, Department of Health Care Services, Research and Analytic Studies Division, Most Recent 48 Months",2017-06-16T22:09:31.655809,2020-09-25T23:41:09.816118,Healthcare,,https://data.chhs.ca.gov/dataset/statewide-medi-cal-certified-eligible-individuals-by-aid-code-2013-2017,statewide-medi-cal-certified-eligible-individuals-by-aid-code-2013-2017
Steven M. Thompson Physician Corps Loan Repayment Awardee Statistics,"Steven M. Thompson Physician Corps Loan Repayment awardee information by number of applicants, location of practice settings, county, and amount of funds expended",Office of Statewide Health Planning & Development,Office of Statewide Health Planning and Development/Health Professions Education Foundation,opendata@oshpd.ca.gov,www.healthprofessions.ca.gov,2014,statewide,statewide,English (EN),quarterly,,http://www.healthprofessions.ca.gov,,Terms of Use,Limitations,,,,,"Office of Statewide Health Planning and Development (OSHPD) Health Professions Education Foundation (HPEF), Steven M. Thompson Physician Corps Loan Repayment awardee information by number of awardees, location of practice settings, county, and amount of funds expended",2017-06-16T22:23:21.174993,2017-06-16T23:48:55.796665,Workforce,"awardees,facility,health professions education foundation,healthcare,loan repayment,specialties,steven m. thompson physician corps,stlrp",http://chhs.ckan.opendata.production.opengov.zone/dataset/steven-m-thompson-physician-corps-loan-repayment-awardee-statistics,steven-m-thompson-physician-corps-loan-repayment-awardee-statistics
Sugar-Sweetened Beverage Consumption in California Residents,"The mean servings/times sugar-sweetened beverages consumed daily by California residents. These data are from the 2013 California Dietary Practices Surveys (CDPS), 2012 California Teen Eating, Exercise and Nutrition Survey (CalTEENS), and 2013 California Children’s Healthy Eating and Exercise Practices Survey (CalCHEEPS). These surveys are now discontinued. Adults, adolescents, and children (with parental assistance) were asked about the sugar-sweetened beverages they drank over the previous 24 hour period. Child/Adolescent: Fruit and vegetable, beverage, and junk food consumption, along with physical activity, sedentary time, active transport, sport participation, school environment, home neighborhood environment, fruit and vegetable access and availability, household/family rules, weight status, school breakfast/lunch participation, attitudes, and beliefs. Adult: Fruit and vegetable, beverage, and junk food consumption, along with physical activity, sedentary time, worksite environment, school environment, home neighborhood environment, fruit and vegetable access and availability, household/family rules, weight status and weight loss practices, and food security. According to the Dietary Guidelines for Americans, 2010, sugar-sweetened beverages provide excess calories and few essential nutrients to the diet and should only be consumed when nutrient needs have been met and without exceeding daily calorie limits.",California Department of Public Health,Center for Chronic Disease Prevention and Health Promotion/Chronic Disease and Injury Control/Nutrition Education and Obesity Prevention Branch/Research and Evaluation Section,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/NEOPB/Pages/Program-Landing2.aspx,2012 and 2013,California,statewide,English (EN),other,,https://archive.cdph.ca.gov/programs/cpns/Pages/CaliforniaStatewideSurveys.aspx,https://archive.cdph.ca.gov/programs/cpns/Pages/CaliforniaStatewideSurveys.aspx  ,Terms of Use,Limitations,,,,,"Nutrition Education and Obesity Prevention Branch, California Department of Public Health. 2014. California Adults, Adolescents, and Children Mean Consumption of Sugar-Sweetened Beverages (Self-Report)",2017-06-16T22:36:13.584409,2018-08-22T16:33:30.111700,Demographics,"adolescent,adult,beverage,child,drink,soda,ssb,sugar,sugar-sweetened",http://chhs.ckan.opendata.production.opengov.zone/dataset/sugar-sweetened-beverage-consumption-in-california-residents-2012-2013,sugar-sweetened-beverage-consumption-in-california-residents-2012-2013
Surgical Site Infections (SSIs) for Operative Procedures in Healthcare,"This dataset shows the surgical site infections (SSIs) reported by a hospital to the Center for Disease Control and Prevention National Healthcare Safety Network (NHSN).   The data is provided in two tables 1) SSIs for the 5 Operative procedures and 2) SSIs for 24 Operative procedures. All procedure and infection data for surgical procedures performed were downloaded from NHSN for each years data release. The hospital submitted procedure counts and infection counts are displayed.

5 Operative Procedures Methods: SSIs for the 5 Operative procedures without risk adjusted comparisons (Heart transplant, Kidney surgery, Pacemaker Surgery, Spleen surgery, Ovarian surgery) 

24 Operative Procedures Methods: The 24 Operative procedures with NHSN Standardized Infections Ratios (SIR) are: Abdominal Aortic Aneurysm Repair, Appendix surgery,  Bile Duct, Liver or Pancreatic surgery, Cardiac surgery, Coronary artery bypass graft with both chest and donor site incisions, Coronary artery bypass graft with chest incision only, Gallbladder surgery, Colon surgery, Cesarean section, Spinal Fusion, Open reduction of fracture, Gastric surgery, Hip prosthesis, Abdominal hysterectomy, Knee prosthesis,  Kidney transplant, Laminectomy, Liver transplant, Rectal surgery, Refusion of spine, Small bowel surgery, Thoracic surgery, Vaginal hysterectomy, Exploratory laparotomy.

The SIR is calculated by dividing the number of observed infections by the number of predicted infections. The number of predicted infections is calculated using SSI probabilities estimated from multivariate logistic regression models constructed from NHSN data during a baseline time period 2006 through 2008, which represents a reference population’s SSI experience. The SIR calculated only if the number of observed is at least one, to enforce a minimum precision criterion and these SIRs are based on the date of procedure, not the date of event.

The SIR used for this table is risk adjusted SIR that considers only complex SSI identified during hospital Admission or Readmission to the same hospital following inpatient surgeries and hereafter referred to as SIR. A SIR was calculated by CDPH, if the predicted number of infections was less than 1 and greater than or equal 0.2. This SIR and its comparison are not as accurate as SIRs based on a larger number of predicted infections. For a detailed explanation, please see the Technical Notes. The hospital submitted procedure counts and infection counts are displayed along with an SIR and, the 95 percent confidence interval for the SIR and the statistical comparison as follow: 

•	No difference - no difference in number of observed and predicted infections

•	Higher - more infections than predicted, or

•	Lower - fewer infections than predicted.

To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://chhs.data.ca.gov/Facilities-and-Services/Licensed-Facility-Cross-Walk/tthg-z4mf.


Health and Safety Code (HSC) Section 1288.55 requires California hospitals to report hospital-associated infection (HAI) data to NHSN, and requires CDPH to follow the NHSN risk adjustment process for the interpretation and publication of HAI data. These reports are based on the 29 mandated NHSN-defined SP categories submitted via NHSN and CDPH accepted only hospital SSI data for SP categories that are in the hospital’s NHSN monthly plan. For more information on data collection processes and methods, please see the ""SSI Technical Notes"" of the healthcare-associated infections (HAI) report on: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx

",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit,opendata@cdph.ca.gov ,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English (EN),annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/ ,Terms of Use,Limitations,,"Health and Safety Code (HSC) Section 1288.55 requires California hospitals to report hospital-associated infection (HAI) data to NHSN and requires CDPH to follow the NHSN  risk adjustment process for the interpretation and publication of HAI data. This table presents the 28 mandated NHSN-defined surgical procedure categories reported to CDPH via NHSN.  CDPH accepted only hospital SSI 2016 data for surgical procedure categories that are in the hospital’s NHSN monthly plan. For more information on data collection processes and methods, please see the ""Technical Notes"" of the annual HAI report on:http://www.cdph.ca.gov/HAI.  ","To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk. ",," Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health] ",,,"Diseases and Conditions,Facilities and Services,Healthcare","HAI,abdominal,aortic aneurysm,appendicitis,arthroplasty,artificial,bile ducts and extrahepatic,bone,cardiac surgery,cesarean,cholecystectomy,colectomy,colorectal surgery,community hospitals,coronary artery bypass,coronary bypass graft,digestive system surgical procedures,fractures,gallbladder,gastrectomy,healthcare,heart transplant,hip prothesis,hip replacement,hospitals,hysterectomy,hysterectomy abdominal,hysterectomy vaginal,hysteroscopy,internal mammary-coronary artery anastomosis,kidney,kidney transplantation,knee prothesis,laminectomy,laparotomy,liver transplantation,nosocomial infections,open reduction of fracture,operative procedures,ovarian,ovarian surgery,ovary,pacemaker,pancreatic,rectal neoplasms,rectal surgery,small bowel surgery,spinal fusion,spine,splenectomy,ssi,surgical,surgical procedure,surgical site infections,surveillance,thoracic surgery",https://data.chhs.ca.gov/dataset/surgical-site-infections-ssis-for-5-operative-procedures-in-hospitals,surgical-site-infections-ssis-for-5-operative-procedures-in-hospitals
Central Line-Associated Bloodstream infections (CLABSI) in Healthcare,"This dataset includes the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN) central line-associated bloodstream infection (CLABSI) Standardized Infection Ratios (SIR) adjusted for patient care locations for hospitals, long-term acute care and patient care areas.

Facility Types:

• Acute Care Hospitals:  Critical access acute care hospital (CAH; defined as certain facilities that participate in Medicare and that are designated by states through a protocol)

• Long-term Acute Care Hospitals (LTACs) are defined by the Centers for Medicare and Medicaid Services as providing care to patients with medically complex conditions requiring an average length of stay greater than 25 days. 

• Four Patient Care Areas include: 1) Critical Care Areas (CCAs) are nursing care areas that provide intensive observation, diagnosis, and therapeutic procedures for patients who are critically ill. These areas exclude step-down, intermediate, or telemetry care areas. 2) Neonatal Critical Care (NCC) Areas specialize in Level II/III and/or Level III critical care provided to newborns and infants. 3) General Care Areas (WARDS) include the following types of locations: stepdown general care locations specializing in patients that are hemodynamically stable; medical general care locations providing evaluation and treatment of nonsurgical conditions; medical/surgical general care locations providing evaluation and treatment of medical and/or surgical conditions; surgical general care locations providing evaluation and treatment for pre- or post-surgical conditions; long-term acute care locations specializing in patients requiring an extended stay in an acute care environment; adult rehabilitation general care locations providing care to patients who have lost function; labor, delivery, recovery, postpartum general care locations providing evaluation and treatment of normal and high risk pregnancy patients; behavioral general care locations providing evaluation and treatment of patients with acute psychiatric or behavioral disorders; jail general care locations providing evaluation and treatment of patients who are in custody of law enforcement during their treatment; pediatric general care locations providing evaluation or treatment to any patient less than or equal to 18 years of age for any medical or surgical condition; and pediatric rehabilitation locations providing care to patients less than or equal to 18 years of age who have lost function. 4) Special Care Areas (SCA) are nursing care areas which specialize in patients who undergo bone marrow (stem cell) transplant for the treatment of various disorders; or require management and treatment for cancer and/or blood disorders; or require postoperative care after solid organ transplant. 

Acute Care Hospital and LTAC Methods: The CLABSI data for each hospital include number of observed (reported) CLABSIs, number of predicted CLABSIs (based on the national baseline data), number of central line-days, CLABSI SIRs and their associated 95% confidence intervals, and the statistical interpretation as follows:

• No difference - no difference in number of observed and predicted infections

• Higher - more infections than predicted, or

• Lower - fewer infections than predicted. 

CLABSI SIRs are influenced by clinical and infection control practices related to central line insertion and infection control maintenance practices, patient-based risk factors, and surveillance methods. While CLABSI SIRs are only adjusted for patient care locations, they cannot control for all individual patient factors that can affect CLABSI SIRs. A low CLABSI SIR may reflect greater diligence with infection prevention or may result from less effective surveillance methods that detect fewer infections, including failure to appropriately apply standardized surveillance definitions and protocols. Similarly, a high SIR may reflect failure to consistently implement all recommended infection prevention practices or more aggressive infection surveillance including more consistent application of standardized surveillance definitions and protocols. Finally, SIRs cannot be compared across hospitals because of the limitation in the ""indirect"" standardization methodology used in calculating the SIRs. 

Patient Care Area Methods: These combined CLABSI rates table shows the hospital-specific CLABSI data and central line insertion practices (CLIP) adherence percent by patient care locations in CCAs, NCCs and one treatment area within SCA, ""Oncology - Medical/Surgical Critical Care"", Permanent and Temporary Central Line Days. The CLABSI measures include the number of CLABSIs, central line-days, patient days, CLABSI rates and their 95% confidence intervals. We also performed statistical analyses to determine if the rates are statistically higher, lower, or no different than the California average rates by patient care locations. We know CLABSI rates are influenced by clinical and infection control practices related to central line insertion and maintenance procedures, patient-based risk factors, and surveillance methods. While stratifying CLABSI rates by patient care location makes rates more comparable, this data risk adjusted procedure cannot control for all individual patient factors that can affect CLABSI rates. A low CLABSI rate may reflect greater diligence with infection prevention or may result from less effective surveillance methods that detect fewer infections, including the failure to consistently apply all currently accepted standardized surveillance definitions and protocols. Similarly, a high rate may reflect the failure to consistently implement all recommended infection prevention practices or use more aggressive infection surveillance methods that can include the application of standardized surveillance definitions and protocols. 

To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk. 

Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report to the California Department of Public Health (CDPH) all cases of MRSA BSI identified in their facilities. The data are submitted by California hospitals to the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). For more information on data collection processes and methods, please see the ""MRSA and VRE BSI Technical Notes"" of the healthcare-associated infections (HAI) report on: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx.

",California Department of Public Health,"California Dept of Public Health, Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit",opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English,annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/,Terms of Use,Limitations,,"Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report to the California Department of Public Health (CDPH) all cases of CLABSI identified in their facilities.  The California Health and Safety Code section 1288.8(b) requires CLIP hospital data from all critical care locations to be reported to CDPH.  The data are submitted by California hospitals to the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). For more information on data collection processes and methods, please see the ""Technical Notes"" of the healthcare-associated infections (HAI) report at: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",,,,,,"Diseases and Conditions,Facilities and Services,Healthcare","agency for healthcare research and quality,central venous catheter,clabsi,critical care,cross infection,delivery of health care,epidemiology,general care,hai,hospital infections,hospitals,infection controls,long-term care,neonatal critical care,nosocomial infections,patient care areas,surveillance",https://data.chhs.ca.gov/dataset/test-cdph-central-line-associated-bloodstream-infections-clabsi-in-health-care,test-cdph-central-line-associated-bloodstream-infections-clabsi-in-health-care
Health Care Personnel Influenza Vaccination,"Health and Safety Code section 1288.7(a) requires California acute care hospitals to offer influenza vaccine free of charge to all healthcare providers (HCP) or sign a declination form if a HCP chooses not to be vaccinated. Hospitals must report HCP influenza vaccination data to the California Department of Public Health (CDPH), including the percentage of HCP vaccinated. CDPH is required to make this information public on an annual basis [Health and Safety Code section 1288.8 (b)].

California acute care hospitals are required to offer free influenza vaccine to HCP. Hospital HCP must receive an annual vaccine or sign a declination form. Hospitals collect vaccination data for all HCP physically working in the hospital for at least one day during influenza season, regardless of clinical responsibility or patient contact. Hospitals report HCP vaccination rates to the California Department of Public Health (CDPH) and CDPH publishes the hospital results annually. CDPH reports data separately for hospital employees, licensed independent practitioners such as physicians, other contract staff, and trainees and volunteers (Health and Safety Code section 1288.7-1288.8).

Detailed information about the variables included in each dataset are described in the accompanying data dictionaries for the year of interest.

For general information about NHSN, surveillance definitions, and reporting requirements for VRE, please visit: https://www.cdc.gov/nhsn/index.html 

To link the CDPH facility IDs with those from other Departments, including OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at: https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk.

For information about healthcare personnel influenza vaccinations in California hospitals, please visit: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HealthcarePersonnelInfluenzaVaccinationReportingInCA_Hospitals.aspx 


",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,Flu seasons (October 01- March 31),California,county,English (EN),annually,,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HealthcarePersonnelInfluenzaVaccinationReportingInCA_Hospitals.aspx,National Healthcare Safety Network (NHSN): https://www.cdc.gov/nhsn/index.html,Terms of Use,Limitations,,,"Influenza Vaccination among Health Care Personnel in California General Acute Care Hospitals for the 2016-2017 Respiratory Season. https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HealthcarePersonnelInfluenzaVaccinationReportingInCA_Hospitals.aspx 
",,"Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health].",2017-12-01T17:26:30.279569,2019-12-20T23:28:41.024423,"Diseases and Conditions,Facilities and Services,Healthcare",,https://data.chhs.ca.gov/dataset/test-cdph-health-care-personnel-influenza-vaccination,test-cdph-health-care-personnel-influenza-vaccination
"Number of licensed day care center slots per 1,000 children aged 0-5 years","This table contains data on the number of licensed day care center slots (facility capacity) per 1,000 children aged 0-5 years in California, its regions, counties, cities, towns, and census tracts. The table contains 2015 data, and includes type of facility (day care center or infant center). Access to child care has become a critical support for working families. Many working families find high-quality child care unaffordable, and the increasing cost of child care can be crippling for low-income families and single parents. These barriers can impact parental choices of child care. Increased availability of child care facilities can positively impact families by providing more choices of child care in terms of price and quality. Estimates for this indicator are provided for the total population, and are not available by race/ethnicity. More information on the data table and a data dictionary can be found in the Data and Resources section.
The licensed day care centers table is part of a series of indicators in the Healthy Communities Data and Indicators Project (HCI) of the Office of Health Equity. The goal of HCI is to enhance public health by providing data, a standardized set of statistical measures, and tools that a broad array of sectors can use for planning healthy communities and evaluating the impact of plans, projects, policy, and environmental changes on community health. The creation of healthy social, economic, and physical environments that promote healthy behaviors and healthy outcomes requires coordination and collaboration across multiple sectors, including transportation, housing, education, agriculture and others. Statistical metrics, or indicators, are needed to help local, regional, and state public health and partner agencies assess community environments and plan for healthy communities that optimize public health. More information on HCI can be found here: https://www.cdph.ca.gov/Programs/OHE/CDPH%20Document%20Library/Accessible%202%20CDPH_Healthy_Community_Indicators1pager5-16-12.pdf

The format of the licensed day care centers table is based on the standardized data format for all HCI indicators. As a result, this data table contains certain variables used in the HCI project (e.g., indicator ID, and indicator definition). Some of these variables may contain the same value for all observations. 
",California Department of Public Health,"CDPH Office of Health Equity, Health Research and Statistics Unit",opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/OHE/Pages/OfficeHealthEquity.aspx,2015,Statewide,census tract,English (EN),other,,https://www.cdph.ca.gov/Programs/OHE/Pages/HCI-Search.aspx,"The addresses of currently licensed daycare centers were downloaded from California Department of Social Services (CDSS) for the week of June 21, 2015. The addresses were geocoded in ArcMap 10.3 and spatially joined to 2010 Census tracts and imported to SAS for analysis. The number of licensed daycare center slots was aggregated from Census tract to higher geography levels (city, county sub division, county, region, state) and merged with the total children population aged 0-2 or 2-5, depending on the type of facility. The rate of daycare center slots per 1,000 children population was calculated by dividing the number of daycare center slots by child population and multiplying by 1,000. Regional estimates were based on county groupings associated with California metropolitan planning organizations as reported in 2010 California Regional Progress Report.",Terms of Use,Limitations,,,,"California Department of Social Services (CDSS), Community Care Licensing. U.S. Census Bureau, 2010 Census Summary File 2, Table PCT3.","Healthy Communities Data and Indicators Project, CDPH. 2017. Licensed daycare center slots 2015 ",2017-08-28T17:41:49.964005,2020-10-01T16:12:22.628017,Facilities and Services,,https://data.chhs.ca.gov/dataset/test-cdph-number-of-licensed-daycare-center-slots-per-1-000-children-aged-0-5-years,test-cdph-number-of-licensed-daycare-center-slots-per-1-000-children-aged-0-5-years
Dental Utilization Measures and Sealant Data by Age Groups Calendar Year 2013 to 2018,"This dataset shows the use of Medi-Cal dental benefits by Medi-Cal members displayed by age groups and calendar year (for 2013, 2014, 2015, 2016, 2017 and 2018). This information consists of members receiving dental services in the following categories: Annual Dental Visit, Exams/Oral Health Evaluations, Use of Diagnostic Services, Use of Dental Treatment Services, Use of Preventive Services, Use of Restorative Services, Treatment/Prevention for Caries, and Use of Sealants. The Medi-Cal members were continuously enrolled in either Dental Managed Care or the Dental Fee-for-Service delivery system for at least 3 months during each measure year.",Department of Health Care Services,Medi-Cal Dental Services Division / Research Analytics Unit ,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov/services/Pages/DentalReports.aspx,2013-2018,State,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,www.denti-cal.ca.gov,,Terms of Use,Limitations,,Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).,,,,2017-08-22T20:25:02.066119,2020-05-28T21:13:09.287566,Healthcare,,https://data.chhs.ca.gov/dataset/test-dhcs-dental-utilization-measures-and-sealant-data-by-age-groups-calendar-year-2013-to-2015,test-dhcs-dental-utilization-measures-and-sealant-data-by-age-groups-calendar-year-2013-to-2015
Multi Year Medi-Cal Dental Measures Data by Age Groups Calendar Year 2013 to 2018,"This dataset shows the use of Medi-Cal dental benefits by Medi-Cal members, displayed by age group and calendar year (for 2013, 2014, 2015, 2016, 2017 and 2018). This information is displayed in the following categories: Continuity Care oral evaluation or a prophylaxis, Usual Source of Care, Overall Utilization of Dental Services 1 year, 2 years and 3 years. The Medi-Cal members were continuously enrolled in either Dental Managed Care or the dental Fee-for-Service delivery system for the entire measurement period.",Department of Health Care Services,Medi-Cal Dental Services Division / Research Analytics Unit ,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov/services/Pages/DentalReports.aspx,2013-2018,State,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,www.denti-cal.ca.gov,,Terms of Use,Limitations,,Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).,,,,2017-08-22T21:04:12.713430,2020-05-28T21:15:35.306614,Healthcare,,https://data.chhs.ca.gov/dataset/test-dhcs-multi-year-dental-measures-data-by-age-groups-calendar-year-2013-to-2015,test-dhcs-multi-year-dental-measures-data-by-age-groups-calendar-year-2013-to-2015
Multi Year Medi-Cal  Dental Measures Data by County and Age Calendar Year 2013 to 2018,"This data set shows the use of Medi-Cal dental benefits by Medi-Cal members displayed by county, age group, and calendar year (for 2013, 2014, 2015, 2016, 2017 and 2018). This information is displayed in the following categories: Continuity Care oral evaluation or a prophylaxis, Usual Source of Care, Overall Utilization of Dental Services 1 year, 2 years and 3 years. The Medi-Cal members were continuously enrolled in either Dental Managed Care or the dental Fee-for-Service delivery system for the entire measurement period.",Department of Health Care Services,Medi-Cal Dental Services Division / Research Analytics Unit ,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov/services/Pages/DentalReports.aspx,2013-2018,State,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,www.denti-cal.ca.gov,,Terms of Use,Limitations,,Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).,,,,2017-08-22T21:38:39.847235,2020-05-28T21:17:01.641102,Healthcare,,https://data.chhs.ca.gov/dataset/test-dhcs-multi-year-dental-measures-data-by-county-calendar-year-2013-to-2015,test-dhcs-multi-year-dental-measures-data-by-county-calendar-year-2013-to-2015
Dental Utilization Measures and Sealant Data by County and Age Calendar Year 2013 to 2018,"This dataset shows the use of Medi-Cal dental benefits by Medi-Cal members displayed by county, age groups, and calendar year (for 2013, 2014, 2015, 2016, 2017 and 2018). This information consists of members receiving dental services in the following categories: Annual Dental Visit, Exams/Oral Health Evaluations, Use of Diagnostic Services, Use of Dental Treatment Services, Use of Preventive Services, Use of Restorative Services, Treatment/Prevention for Caries, and Use of Sealants. The Medi-Cal members were continuously enrolled in either Dental Managed Care or the Dental Fee-for-Service delivery system for at least 3 months during each measure year.",Department of Health Care Services,Medi-Cal Dental Services Division / Research Analytics Unit ,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov/services/Pages/DentalReports.aspx,2013 - 2018,Statewide ,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,www.denti-cal.ca.gov,,Terms of Use,Limitations,,Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).,,,,2017-08-15T18:42:09.007710,2020-05-28T21:19:44.305820,Healthcare,,https://data.chhs.ca.gov/dataset/test-dhcs-utilization-measures-and-sealant-data-by-county-calendar-year-2013-to-2015,test-dhcs-utilization-measures-and-sealant-data-by-county-calendar-year-2013-to-2015
